Pairwise comparison,Experiment,Study,Species A,Species B,Species pair,AinA mean,AinA_mean_reestimate,AinA se,AinA_se_reestimate,AinA N,AinB mean,AinB_mean_reestimate,AinB se,AinB N,AinB_se_reestimate,BinB mean,BinB_mean_reestimate,BinB se,BinB N,BinB_se_reestimate,BinA mean,BinA_mean_reestimate,BinA se,BinA N,BinA_se_reestimate
269,44,89,solanum_americanum,sonchus_asper,solanum_americanum_sonchus_asper,2.623,,0.468,,8,3.279,,0.398,8,,2.209,,0.393,8,,2.331,,0.368,8,
270,44,89,solanum_americanum,tripleurospermum_inodorum,solanum_americanum_tripleurospermum_inodorum,2.623,,0.468,,8,4.485,,0.492,8,,0.591,,0.269,8,,0.731,,0.331,8,
271,44,89,solanum_americanum,viola_arvensis,solanum_americanum_viola_arvensis,2.623,,0.468,,8,3.876,,0.656,8,,0.943,,0.261,8,,0.716,,0.24,8,
272,44,89,sonchus_asper,tripleurospermum_inodorum,sonchus_asper_tripleurospermum_inodorum,2.209,,0.393,,8,2.045,,0.335,8,,0.591,,0.269,8,,0.36,,0.099,8,
273,44,89,sonchus_asper,viola_arvensis,sonchus_asper_viola_arvensis,2.209,,0.393,,8,1.53,,0.36,8,,0.943,,0.261,8,,0.695,,0.189,8,
274,44,89,tripleurospermum_inodorum,viola_arvensis,tripleurospermum_inodorum_viola_arvensis,0.59,,0.269,,8,0.591,,0.269,8,,0.943,,0.261,8,,0.905,,0.248,8,
275,45,89,matricaria_chamomilla,papaver_dubium,matricaria_chamomilla_papaver_dubium,1.357,,0.13,,8,1.274,,0.271,8,,0.115,,0.036,8,,0.178,,0.047,8,
276,45,89,matricaria_chamomilla,senecio_vulgaris,matricaria_chamomilla_senecio_vulgaris,1.357,,0.13,,8,1.811,,0.354,8,,0.559,,0.071,8,,0.618,,0.059,8,
277,45,89,matricaria_chamomilla,solanum_americanum,matricaria_chamomilla_solanum_americanum,1.357,,0.13,,8,1.044,,0.212,8,,1.827,,0.152,8,,1.944,,0.269,8,
278,45,89,matricaria_chamomilla,sonchus_asper,matricaria_chamomilla_sonchus_asper,1.357,,0.13,,8,1.192,,0.372,8,,1.8,,0.352,8,,1.693,,0.245,8,
279,45,89,matricaria_chamomilla,tripleurospermum_inodorum,matricaria_chamomilla_tripleurospermum_inodorum,1.357,,0.13,,8,1.333,,0.289,8,,0.384,,0.182,8,,0.587,,0.169,8,
280,45,89,matricaria_chamomilla,viola_arvensis,matricaria_chamomilla_viola_arvensis,1.357,,0.13,,8,1.027,,0.348,8,,0.577,,0.173,8,,0.463,,0.147,8,
281,45,89,matricaria_matricarioides,matricaria_chamomilla,matricaria_chamomilla_matricaria_matricarioides,0.575,,0.182,,8,0.672,,0.139,8,,1.357,,0.13,8,,1.729,,0.372,8,
282,45,89,matricaria_matricarioides,papaver_dubium,matricaria_matricarioides_papaver_dubium,0.575,,0.182,,8,0.467,,0.081,8,,0.115,,0.036,8,,0.245,,0.091,8,
283,45,89,matricaria_matricarioides,senecio_vulgaris,matricaria_matricarioides_senecio_vulgaris,0.575,,0.182,,8,0.529,,0.147,8,,0.559,,0.071,8,,0.543,,0.087,8,
284,45,89,matricaria_matricarioides,solanum_americanum,matricaria_matricarioides_solanum_americanum,0.575,,0.182,,8,0.556,,0.12,8,,1.827,,0.152,8,,1.827,,0.281,8,
285,45,89,matricaria_matricarioides,sonchus_asper,matricaria_matricarioides_sonchus_asper,0.575,,0.182,,8,0.208,,0.069,8,,1.8,,0.352,8,,1.513,,0.254,8,
286,45,89,matricaria_matricarioides,tripleurospermum_inodorum,matricaria_matricarioides_tripleurospermum_inodorum,0.575,,0.182,,8,0.347,,0.066,8,,0.384,,0.182,8,,0.244,,0.07,8,
287,45,89,matricaria_matricarioides,viola_arvensis,matricaria_matricarioides_viola_arvensis,0.575,,0.182,,8,0.425,,0.151,8,,0.577,,0.173,8,,0.573,,0.152,8,
288,45,89,papaver_dubium,senecio_vulgaris,papaver_dubium_senecio_vulgaris,0.115,,0.036,,8,0.281,,0.138,8,,0.559,,0.071,8,,0.803,,0.157,8,
289,45,89,papaver_dubium,solanum_americanum,papaver_dubium_solanum_americanum,0.115,,0.036,,8,0.213,,0.067,8,,1.827,,0.152,8,,2.073,,0.187,8,
290,45,89,papaver_dubium,sonchus_asper,papaver_dubium_sonchus_asper,0.115,,0.036,,8,0.253,,0.095,8,,1.8,,0.352,8,,1.521,,0.229,8,
291,45,89,papaver_dubium,tripleurospermum_inodorum,papaver_dubium_tripleurospermum_inodorum,0.115,,0.036,,8,0.32,,0.107,8,,0.384,,0.182,8,,0.277,,0.091,8,
292,45,89,papaver_dubium,viola_arvensis,papaver_dubium_viola_arvensis,0.115,,0.036,,8,0.154,,0.071,8,,0.577,,0.173,8,,0.232,,0.063,8,
293,45,89,senecio_vulgaris,solanum_americanum,senecio_vulgaris_solanum_americanum,0.559,,0.071,,8,0.492,,0.051,8,,1.827,,0.152,8,,2.248,,0.304,8,
294,45,89,senecio_vulgaris,sonchus_asper,senecio_vulgaris_sonchus_asper,0.559,,0.071,,8,0.488,,0.059,8,,1.8,,0.352,8,,1.571,,0.245,8,
295,45,89,senecio_vulgaris,tripleurospermum_inodorum,senecio_vulgaris_tripleurospermum_inodorum,0.559,,0.071,,8,0.984,,0.157,8,,0.384,,0.182,8,,0.186,,0.099,8,
296,45,89,senecio_vulgaris,viola_arvensis,senecio_vulgaris_viola_arvensis,0.559,,0.071,,8,0.52,,0.047,8,,0.577,,0.173,8,,0.686,,0.248,8,
297,45,89,solanum_americanum,sonchus_asper,solanum_americanum_sonchus_asper,1.827,,0.152,,8,1.838,,0.211,8,,1.8,,0.352,8,,1.636,,0.344,8,
298,45,89,solanum_americanum,tripleurospermum_inodorum,solanum_americanum_tripleurospermum_inodorum,1.827,,0.152,,8,2.845,,0.316,8,,0.384,,0.182,8,,0.31,,0.157,8,
299,45,89,solanum_americanum,viola_arvensis,solanum_americanum_viola_arvensis,1.827,,0.152,,8,3.888,,0.855,8,,0.577,,0.173,8,,0.589,,0.223,8,
300,45,89,sonchus_asper,tripleurospermum_inodorum,sonchus_asper_tripleurospermum_inodorum,1.8,,0.352,,8,1.922,,0.532,8,,0.384,,0.182,8,,0.43,,0.161,8,
301,45,89,sonchus_asper,viola_arvensis,sonchus_asper_viola_arvensis,1.8,,0.352,,8,1.292,,0.442,8,,0.577,,0.173,8,,0.392,,0.101,8,
302,45,89,tripleurospermum_inodorum,viola_arvensis,tripleurospermum_inodorum_viola_arvensis,0.384,,0.182,,8,0.599,,0.149,8,,0.577,,0.173,8,,0.366,,0.101,8,
303,46,101,aegilops_triuncialis,lasthenia_californica,aegilops_triuncialis_lasthenia_californica,4.15758,,0.35758,,10,5.52126,,0.35152,10,,1.50748,,0.24688,7,,0.84538,,0.23569,7,
304,46,101,aegilops_triuncialis,plantago_erecta,aegilops_triuncialis_plantago_erecta,4.15758,,0.35758,,10,4.93335,,0.32733,12,,0.18935,,0.01287,9,,0.16178,,0.00184,10,
305,47,102,andropogon_gerardii,schizachyrium_scoparium,andropogon_gerardii_schizachyrium_scoparium,0.514,,0.051,,15,0.507,,0.064,15,,0.379,,0.039,15,,0.552,,0.039,15,
306,47,102,andropogon_gerardii,sorghastrum_nutans,andropogon_gerardii_sorghastrum_nutans,0.514,,0.051,,15,0.436,,0.032,15,,0.462,,0.032,15,,0.585,,0.051,15,
307,47,102,andropogon_gerardii,sporobolus_heterolepis,andropogon_gerardii_sporobolus_heterolepis,0.514,,0.051,,15,0.526,,0.045,15,,0.116,,0.019,15,,0.193,,0.019,15,
308,47,102,schizachyrium_scoparium,sorghastrum_nutans,schizachyrium_scoparium_sorghastrum_nutans,0.379,,0.039,,15,0.404,,0.039,15,,0.462,,0.032,15,,0.533,,0.039,15,
309,47,102,schizachyrium_scoparium,sporobolus_heterolepis,schizachyrium_scoparium_sporobolus_heterolepis,0.379,,0.039,,15,0.539,,0.045,15,,0.116,,0.019,15,,0.161,,0.026,15,
310,47,102,sorghastrum_nutans,sporobolus_heterolepis,sorghastrum_nutans_sporobolus_heterolepis,0.462,,0.032,,15,0.655,,0.051,15,,0.116,,0.019,15,,0.16,,0.026,15,
311,48,102,andropogon_gerardii,schizachyrium_scoparium,andropogon_gerardii_schizachyrium_scoparium,0.455,,0.038,,15,0.556,,0.045,15,,0.783,,0.082,15,,0.846,,0.101,15,
312,48,102,andropogon_gerardii,sorghastrum_nutans,andropogon_gerardii_sorghastrum_nutans,0.455,,0.038,,15,0.404,,0.032,15,,0.417,,0.025,15,,0.518,,0.025,15,
313,48,102,schizachyrium_scoparium,sorghastrum_nutans,schizachyrium_scoparium_sorghastrum_nutans,0.771,,0.114,,15,0.783,,0.082,15,,0.417,,0.025,15,,0.512,,0.044,15,
314,49,102,andropogon_gerardii,schizachyrium_scoparium,andropogon_gerardii_schizachyrium_scoparium,0.524,,0.063,,15,0.699,,0.051,15,,0.745,,0.069,15,,0.903,,0.057,15,
315,49,102,andropogon_gerardii,sorghastrum_nutans,andropogon_gerardii_sorghastrum_nutans,0.524,,0.063,,15,0.499,,0.044,15,,0.562,,0.04,15,,0.657,,0.051,15,
316,49,102,andropogon_gerardii,sporobolus_heterolepis,andropogon_gerardii_sporobolus_heterolepis,0.524,,0.063,,15,0.619,,0.038,15,,0.354,,0.038,15,,0.448,,0.044,15,
317,49,102,schizachyrium_scoparium,sorghastrum_nutans,schizachyrium_scoparium_sorghastrum_nutans,0.745,,0.069,,15,0.6,,0.044,15,,0.562,,0.04,15,,0.714,,0.063,15,
318,49,102,schizachyrium_scoparium,sporobolus_heterolepis,schizachyrium_scoparium_sporobolus_heterolepis,0.745,,0.069,,15,0.777,,0.045,15,,0.354,,0.038,15,,0.411,,0.046,15,
319,49,102,sorghastrum_nutans,sporobolus_heterolepis,sorghastrum_nutans_sporobolus_heterolepis,0.562,,0.04,,15,0.676,,0.019,15,,0.354,,0.038,15,,0.392,,0.038,15,
320,50,102,andropogon_gerardii,schizachyrium_scoparium,andropogon_gerardii_schizachyrium_scoparium,0.733,,0.069,,15,0.651,,0.057,15,,0.764,,0.057,15,,0.884,,0.076,15,
321,50,102,andropogon_gerardii,sorghastrum_nutans,andropogon_gerardii_sorghastrum_nutans,0.733,,0.069,,15,0.556,,0.051,15,,0.644,,0.044,15,,0.786,,0.057,15,
322,50,102,andropogon_gerardii,sporobolus_heterolepis,andropogon_gerardii_sporobolus_heterolepis,0.733,,0.069,,15,0.651,,0.045,15,,0.417,,0.051,15,,0.575,,0.051,15,
323,50,102,schizachyrium_scoparium,sorghastrum_nutans,schizachyrium_scoparium_sorghastrum_nutans,0.764,,0.057,,15,0.777,,0.088,15,,0.644,,0.044,15,,0.739,,0.063,15,
324,50,102,schizachyrium_scoparium,sporobolus_heterolepis,schizachyrium_scoparium_sporobolus_heterolepis,0.764,,0.057,,15,0.758,,0.057,15,,0.417,,0.051,15,,0.505,,0.044,15,
325,50,102,sorghastrum_nutans,sporobolus_heterolepis,sorghastrum_nutans_sporobolus_heterolepis,0.644,,0.044,,15,0.726,,0.044,15,,0.417,,0.051,15,,0.442,,0.032,15,
326,51,103,artemisia_californica,avena_barbata,artemisia_californica_avena_barbata,2.187,,1.084,,7,2.467,,1.197,7,,5.467,,0.673,7,,7.444,,1.682,7,
327,51,103,avena_barbata,eriogonum_arborescens,avena_barbata_eriogonum_arborescens,5.43,,0.72,,7,4.863,,0.763,7,,4.8,,1,7,,5.825,,1.525,7,
328,52,103,avena_barbata,eriogonum_arborescens,avena_barbata_eriogonum_arborescens,1.21,,0.264,,7,1.396,,0.218,7,,0.351,,0.15,7,,0.351,,0.1,7,
329,53,103,artemisia_californica,avena_barbata,artemisia_californica_avena_barbata,0.188,,0.056,,7,0.281,,0.112,7,,2.734,,0.548,7,,4.458,,0.716,7,
330,53,103,avena_barbata,eriogonum_arborescens,avena_barbata_eriogonum_arborescens,2.682,,0.54,,7,3.249,,0.938,7,,0.275,,0.035,7,,0.575,,0.025,7,
331,54,103,artemisia_californica,avena_barbata,artemisia_californica_avena_barbata,0.101,,0.032,,7,0.306,,0.114,7,,0.957,,0.1,7,,1.216,,0.199,7,
332,54,103,avena_barbata,eriogonum_arborescens,avena_barbata_eriogonum_arborescens,0.967,,0.105,,7,1.186,,0.194,7,,1.85,,0.95,7,,2.475,,1.075,7,
333,55,103,avena_barbata,eriogonum_arborescens,avena_barbata_eriogonum_arborescens,0.374,,0.08,,7,0.364,,0.075,7,,0.064,,0.01,7,,0.126,,0.012,7,
334,56,103,artemisia_californica,avena_barbata,artemisia_californica_avena_barbata,0.09,,0.021,,7,0.463,,0.062,7,,0.683,,0.06,7,,0.808,,0.125,7,
335,56,103,avena_barbata,eriogonum_arborescens,avena_barbata_eriogonum_arborescens,0.683,,0.07,,7,0.558,,0.08,7,,0.138,,0.01,7,,0.213,,0.025,7,
336,57,104,beilschmiedia_pendula,brosimum_alicastrum,beilschmiedia_pendula_brosimum_alicastrum,0.7389,,0.2136,,15,0.8051,,0.216,8,,0.7303,,0.08518,15,,0.7303,,0.08861,8,
337,57,104,beilschmiedia_pendula,eugenia_nesiotica,beilschmiedia_pendula_eugenia_nesiotica,0.7389,,0.2136,,15,0.7152,,0.2159,8,,0.586,,0.03396,15,,0.6141,,0.04289,8,
338,57,104,beilschmiedia_pendula,lacmellea_panamensis,beilschmiedia_pendula_lacmellea_panamensis,0.7389,,0.2136,,15,0.7079,,0.2158,8,,0.5622,,0.04764,15,,0.8035,,0.05304,8,
339,57,104,beilschmiedia_pendula,tetragastris_panamensis,beilschmiedia_pendula_tetragastris_panamensis,0.7389,,0.2136,,15,0.61,,0.2162,8,,0.6036,,0.1153,15,,0.619,,0.118,8,
340,57,104,beilschmiedia_pendula,virola_surinamensis,beilschmiedia_pendula_virola_surinamensis,0.7389,,0.2136,,15,0.7342,,0.2169,8,,0.6998,,0.06403,15,,0.7625,,0.06893,8,
341,57,104,brosimum_alicastrum,eugenia_nesiotica,brosimum_alicastrum_eugenia_nesiotica,0.7303,,0.08518,,15,0.7107,,0.08862,8,,0.586,,0.03396,15,,0.7047,,0.04259,8,
342,57,104,brosimum_alicastrum,lacmellea_panamensis,brosimum_alicastrum_lacmellea_panamensis,0.7303,,0.08518,,15,0.6838,,0.08859,8,,0.5622,,0.04764,15,,0.8191,,0.05382,8,
343,57,104,brosimum_alicastrum,tetragastris_panamensis,brosimum_alicastrum_tetragastris_panamensis,0.7303,,0.08518,,15,0.7148,,0.0886,8,,0.6036,,0.1153,15,,0.6488,,0.1181,8,
344,57,104,brosimum_alicastrum,virola_surinamensis,brosimum_alicastrum_virola_surinamensis,0.7303,,0.08518,,15,0.7198,,0.08859,8,,0.6998,,0.06403,15,,0.7879,,0.06661,8,
345,57,104,eugenia_nesiotica,lacmellea_panamensis,eugenia_nesiotica_lacmellea_panamensis,0.586,,0.03396,,15,0.6472,,0.04264,8,,0.5622,,0.04764,15,,0.655,,0.05408,8,
346,57,104,eugenia_nesiotica,tetragastris_panamensis,eugenia_nesiotica_tetragastris_panamensis,0.586,,0.03396,,15,0.6467,,0.04129,8,,0.6036,,0.1153,15,,0.5714,,0.1181,8,
347,57,104,eugenia_nesiotica,virola_surinamensis,eugenia_nesiotica_virola_surinamensis,0.586,,0.03396,,15,0.6533,,0.04344,8,,0.6998,,0.06403,15,,0.7749,,0.06853,8,
348,57,104,lacmellea_panamensis,tetragastris_panamensis,lacmellea_panamensis_tetragastris_panamensis,0.5622,,0.04764,,15,0.5965,,0.05397,8,,0.6036,,0.1153,15,,0.6291,,0.1182,8,
349,57,104,lacmellea_panamensis,virola_surinamensis,lacmellea_panamensis_virola_surinamensis,0.5622,,0.04764,,15,0.6561,,0.05387,8,,0.6998,,0.06403,15,,0.7466,,0.06614,8,
350,57,104,tetragastris_panamensis,virola_surinamensis,tetragastris_panamensis_virola_surinamensis,0.6036,,0.1153,,15,0.6272,,0.118,8,,0.6998,,0.06403,15,,0.7023,,0.06755,8,
351,58,104,apeiba_membranacea,beilschmiedia_pendula,apeiba_membranacea_beilschmiedia_pendula,0.2558,,0.03199,,100,0.2848,,0.03416,50,,0.6205,,0.03058,100,,0.6606,,0.03633,50,
352,58,104,apeiba_membranacea,brosimum_alicastrum,apeiba_membranacea_brosimum_alicastrum,0.2558,,0.03199,,100,0.2578,,0.05284,30,,0.3926,,0.04664,60,,0.5082,,0.03607,50,
353,58,104,apeiba_membranacea,lacmellea_panamensis,apeiba_membranacea_lacmellea_panamensis,0.2558,,0.03199,,100,0.2737,,0.0369,50,,0.2435,,0.02882,100,,0.3889,,0.03293,50,
354,58,104,apeiba_membranacea,simarouba_amara,apeiba_membranacea_simarouba_amara,0.2558,,0.03199,,100,0.2772,,0.03458,50,,0.5122,,0.03182,100,,0.2772,,0.03458,50,
355,58,104,beilschmiedia_pendula,brosimum_alicastrum,beilschmiedia_pendula_brosimum_alicastrum,0.6205,,0.03058,,100,0.7104,,0.05038,30,,0.3926,,0.04664,60,,0.5626,,0.03492,50,
356,58,104,beilschmiedia_pendula,lacmellea_panamensis,beilschmiedia_pendula_lacmellea_panamensis,0.6205,,0.03058,,100,0.6838,,0.03564,50,,0.2435,,0.02882,100,,0.3567,,0.03203,50,
357,58,104,beilschmiedia_pendula,simarouba_amara,beilschmiedia_pendula_simarouba_amara,0.6205,,0.03058,,100,0.6827,,0.0371,50,,0.5122,,0.03182,100,,0.4917,,0.0369,50,
358,58,104,brosimum_alicastrum,lacmellea_panamensis,brosimum_alicastrum_lacmellea_panamensis,0.3926,,0.04664,,60,0.5484,,0.03428,50,,0.2435,,0.02882,100,,0.2302,,0.05739,30,
359,58,104,brosimum_alicastrum,simarouba_amara,brosimum_alicastrum_simarouba_amara,0.3926,,0.04664,,60,0.5751,,0.03565,50,,0.5122,,0.03182,100,,0.5463,,0.05752,30,
360,58,104,lacmellea_panamensis,simarouba_amara,lacmellea_panamensis_simarouba_amara,0.2435,,0.02882,,100,0.4152,,0.03217,50,,0.5122,,0.03182,100,,0.5305,,0.04094,50,
361,59,105,apeiba_membranacea,luehea_seemannii,apeiba_membranacea_luehea_seemannii,1.6419,,0.151,,15,1.2685,,0.133,15,,2.1831,,0.124,15,,2.3028,,0.123,15,
362,60,122,andropogon_gerardii,schizachyrium_scoparium,andropogon_gerardii_schizachyrium_scoparium,0.11,,0.0135,,4,0.34,,0.063168206,18,,0.249,,0.049645668,13,,0.37,,0.058853573,15,
363,60,122,sorghastrum_nutans,andropogon_gerardii,andropogon_gerardii_sorghastrum_nutans,0.186,,0.072746134,,12,0.44,,0.163636558,13,,0.11,,0.0135,4,,0.25,,0.066943868,15,
364,60,122,sorghastrum_nutans,schizachyrium_scoparium,schizachyrium_scoparium_sorghastrum_nutans,0.186,,0.072746134,,12,0.645,,0.119222831,12,,0.249,,0.049645668,13,,0.385,,0.058853573,14,
365,61,125,stipa_comata,koeleria_macrantha,koeleria_macrantha_stipa_comata,70,,13,,15,67,,12,15,,75,,9,15,,85,,14,15,
366,61,125,stipa_comata,lupinus_sericeus,lupinus_sericeus_stipa_comata,70,,13,,15,120,,10,15,,538,,67,15,,455,,56,15,
367,61,125,stipa_comata,elymus_spicatus,elymus_spicatus_stipa_comata,70,,13,,15,72,,8,15,,90,,11,15,,102,,24,15,
368,61,125,koeleria_macrantha,lupinus_sericeus,koeleria_macrantha_lupinus_sericeus,75,,9,,15,131,,18,15,,538,,67,15,,591,,76,15,
369,61,125,koeleria_macrantha,elymus_spicatus,elymus_spicatus_koeleria_macrantha,75,,9,,15,72,,7,15,,90,,11,15,,84,,15,15,
370,61,125,lupinus_sericeus,elymus_spicatus,elymus_spicatus_lupinus_sericeus,538,,67,,15,600,,78,15,,90,,11,15,,79,,10,15,
371,62,125,agropyron_cristatum,bromus_tectorum,agropyron_cristatum_bromus_tectorum,73,,10,,15,47,,11,15,,190,,19,15,,118,,28,15,
372,62,125,agropyron_cristatum,centaurea_diffusa,agropyron_cristatum_centaurea_diffusa,73,,10,,15,86,,10,15,,173,,20,15,,167,,31,15,
373,62,125,agropyron_cristatum,medicago_sativa,agropyron_cristatum_medicago_sativa,73,,10,,15,119,,19,15,,1052,,152,15,,838,,75,15,
374,62,125,bromus_tectorum,centaurea_diffusa,bromus_tectorum_centaurea_diffusa,190,,19,,15,203,,29,15,,173,,20,15,,143,,20,15,
375,62,125,bromus_tectorum,medicago_sativa,bromus_tectorum_medicago_sativa,190,,19,,15,355,,83,15,,1052,,152,15,,746,,102,15,
376,62,125,centaurea_diffusa,medicago_sativa,centaurea_diffusa_medicago_sativa,173,,20,,15,206,,32,15,,1052,,152,15,,975,,98,15,
377,63,144,solidago_canadensis,solidago_rugosa,solidago_canadensis_solidago_rugosa,3.087,,0.26,,7,3.808,,0.375,7,,2.769,,0.375,7,,1.529,,0.346,7,
378,63,144,solidago_canadensis,symphyotrichum_novae-angliae,solidago_canadensis_symphyotrichum_novae-angliae,3.087,,0.26,,7,3.808,,0.375,7,,2.308,,0.38,7,,1.5,,0.346,7,
379,63,144,solidago_canadensis,symphyotrichum_pilosum,solidago_canadensis_symphyotrichum_pilosum,3.087,,0.26,,7,4.067,,0.288,7,,3.317,,0.346,7,,3.577,,0.375,7,
380,63,144,solidago_rugosa,symphyotrichum_novae-angliae,solidago_rugosa_symphyotrichum_novae-angliae,2.769,,0.375,,7,2.077,,0.375,7,,2.308,,0.38,7,,3.548,,0.312,7,
381,63,144,solidago_rugosa,symphyotrichum_pilosum,solidago_rugosa_symphyotrichum_pilosum,2.769,,0.375,,7,1.587,,0.317,7,,3.317,,0.346,7,,4.24,,0.287,7,
382,63,144,symphyotrichum_novae-angliae,symphyotrichum_pilosum,symphyotrichum_novae-angliae_symphyotrichum_pilosum,2.308,,0.38,,7,2.221,,0.317,7,,3.317,,0.346,7,,4.962,,0.346,7,
383,64,145,acacia_salicina,acacia_stenophylla,acacia_salicina_acacia_stenophylla,1.4114,,0.062,,28,1.439,,0.062,30,,1.404,,0.062,30,,1.16,,0.064,28,
384,65,149,allium_vineale,anthoxanthum_odoratum,allium_vineale_anthoxanthum_odoratum,0.108241,,0.00920229,,22,0.095481,,0.012103,10,,0.933156,,0.023328,23,,0.964324,,0.033677,12,
385,65,149,allium_vineale,panicum_sphaerocarpon,allium_vineale_panicum_sphaerocarpon,0.108241,,0.00920229,,22,0.093025,,0.010659,12,,0.56355049,,0.0181608,24,,0.64979721,,0.0276964,12,
386,65,149,allium_vineale,plantago_lanceolata,allium_vineale_plantago_lanceolata,0.108241,,0.00920229,,22,0.0961,,0.012141,10,,0.19545241,,0.0107544,24,,0.254016,,0.018468,11,
387,65,149,anthoxanthum_odoratum,panicum_sphaerocarpon,anthoxanthum_odoratum_panicum_sphaerocarpon,0.933156,,0.023328,,23,0.99281296,,0.0382242,10,,0.56355049,,0.0181608,24,,0.589824,,0.026401,12,
388,65,149,anthoxanthum_odoratum,plantago_lanceolata,anthoxanthum_odoratum_plantago_lanceolata,0.933156,,0.023328,,23,0.88887184,,0.0342648,11,,0.19545241,,0.0107544,24,,0.2025,,0.01633684,12,
389,65,149,panicum_sphaerocarpon,plantago_lanceolata,panicum_sphaerocarpon_plantago_lanceolata,0.56355049,,0.0181608,,24,0.62047129,,0.0270708,12,,0.19545241,,0.0107544,24,,0.301401,,0.020088,12,
390,66,152,allium_vineale,anthoxanthum_odoratum,allium_vineale_anthoxanthum_odoratum,0.213723588,,0.032453593,,12,0.222710224,,0.045044282,6,,1.017446514,,0.050830995,12,,1.124548969,,0.075499299,6,
391,66,152,allium_vineale,panicum_sphaerocarpon,allium_vineale_panicum_sphaerocarpon,0.213723588,,0.032453593,,12,0.224645654,,0.045072386,6,,0.66411212,,0.041884691,12,,0.590885771,,0.056860536,6,
392,66,152,allium_vineale,plantago_lanceolata,allium_vineale_plantago_lanceolata,0.213723588,,0.032453593,,12,0.225882006,,0.045202477,6,,0.768045219,,0.053389304,12,,0.693270676,,0.062244708,6,
393,66,152,anthoxanthum_odoratum,panicum_sphaerocarpon,anthoxanthum_odoratum_panicum_sphaerocarpon,1.017446514,,0.050830995,,12,1.251620254,,0.080539287,6,,0.66411212,,0.041884691,12,,0.590885771,,0.056860536,6,
394,66,152,anthoxanthum_odoratum,plantago_lanceolata,anthoxanthum_odoratum_plantago_lanceolata,1.017446514,,0.050830995,,12,1.234677651,,0.079710812,6,,0.768045219,,0.053389304,12,,0.897170205,,0.069955177,6,
395,66,152,panicum_sphaerocarpon,plantago_lanceolata,panicum_sphaerocarpon_plantago_lanceolata,0.66411212,,0.041884691,,12,0.95420193,,0.071497402,6,,0.768045219,,0.053389304,12,,0.95420193,,0.071497402,6,
396,67,158,trema_micrantha,trema_micrantha,trema_micrantha_trema_micrantha,0.057,,0.004,,8,0.056,,0.004,8,,0.061,,0.004,8,,0.043,,0.004,8,
397,68,158,trema_micrantha,trema_micrantha,trema_micrantha_trema_micrantha,0.029,,0.002,,31,0.023,,0.002,34,,0.027,,0.002,39,,0.027,,0.002,17,
398,69,161,andropogon_gerardii,symphyotrichum_novae-angliae,andropogon_gerardii_symphyotrichum_novae-angliae,1.148,,0.222517415,,5,2.716666667,,0.514014699,3,,0.91,,0.081449984,5,,0.551666667,,0.059003766,3,
399,69,161,andropogon_gerardii,elymus_canadensis,andropogon_gerardii_elymus_canadensis,1.148,,0.222517415,,5,1.816666667,,0.301901382,3,,0.9346,,0.118089204,5,,1.682666667,,0.25175142,3,
400,69,161,andropogon_gerardii,eryngium_yuccifolium,andropogon_gerardii_eryngium_yuccifolium,1.148,,0.222517415,,5,1.036666667,,0.294637254,3,,0.15625,,0.043463347,4,,0.15,,0.025166115,3,
401,69,161,andropogon_gerardii,panicum_virgatum,andropogon_gerardii_panicum_virgatum,1.148,,0.222517415,,5,2.71,,0.391535439,3,,1.764,,0.419484803,5,,1.693333333,,0.406382551,3,
402,69,161,andropogon_gerardii,parthenium_integrifolium,andropogon_gerardii_parthenium_integrifolium,1.148,,0.222517415,,5,1.453333333,,0.505382144,3,,0.75036,,0.107680312,5,,0.943333333,,0.441977878,3,
403,69,161,andropogon_gerardii,ratibida_pinnata,andropogon_gerardii_ratibida_pinnata,1.148,,0.222517415,,5,2.186666667,,0.103494498,3,,0.652,,0.121548344,5,,1.123333333,,0.049103066,3,
404,69,161,andropogon_gerardii,rudbeckia_hirta,andropogon_gerardii_rudbeckia_hirta,1.148,,0.222517415,,5,2.12,,0.38509739,3,,0.782,,0.199459269,5,,0.813333333,,0.38198313,3,
405,69,161,andropogon_gerardii,sporobolus_heterolepis,andropogon_gerardii_sporobolus_heterolepis,1.148,,0.222517415,,5,0.53,,0.256969518,3,,0.182,,0.051736512,4,,0.326333333,,0.144685099,3,
406,69,161,symphyotrichum_novae-angliae,elymus_canadensis,elymus_canadensis_symphyotrichum_novae-angliae,0.91,,0.081449984,,5,0.674333333,,0.305219229,3,,0.9346,,0.118089204,5,,1.503,,0.144361814,3,
407,69,161,symphyotrichum_novae-angliae,eryngium_yuccifolium,eryngium_yuccifolium_symphyotrichum_novae-angliae,0.91,,0.081449984,,5,0.657666667,,0.248009632,3,,0.15625,,0.043463347,4,,0.19,,0.066583281,3,
408,69,161,symphyotrichum_novae-angliae,panicum_virgatum,panicum_virgatum_symphyotrichum_novae-angliae,0.91,,0.081449984,,5,1.290333333,,0.159461942,3,,1.764,,0.419484803,5,,1.773666667,,0.875250885,3,
409,69,161,symphyotrichum_novae-angliae,parthenium_integrifolium,parthenium_integrifolium_symphyotrichum_novae-angliae,0.91,,0.081449984,,5,0.289333333,,0.07927659,3,,0.75036,,0.107680312,5,,0.916666667,,0.164249133,3,
